price_date,ticker,price,price_std
2017-07-19,DRE,28.79,0.3949
2017-08-16,DRE,28.9,0.2299
2017-08-22,DRE,29.18,0.3271
2017-08-29,DRE,29.41,0.4321
2017-08-30,DRE,29.47,0.391
2017-09-14,DRE,29.7,0.2185
2017-09-21,DRE,29.42,0.1999
2017-10-17,DRE,28.95,0.07
2017-10-30,DRE,28.38,0.2082
2018-01-11,DRE,25.63,0.495
2018-01-22,DRE,25.98,0.4564
2013-03-07,DRI,47.48,0.8719
2013-03-28,DRI,51.68,1.1349
2013-06-07,DRI,54.23,0.5955
2013-06-13,DRI,53.28,0.7785
2013-06-21,DRI,50.12,1.1755
2013-07-05,DRI,51.33,1.3398
2013-07-11,DRI,50.55,0.9259
2013-07-12,DRI,50.43,0.9205
2013-08-13,DRI,49.14,0.3906
2013-08-15,DRI,47.84,0.5094
2013-08-27,DRI,46.46,1.0607
2013-09-16,DRI,48.85,0.9246
2013-09-27,DRI,46.7,1.4145
2013-09-30,DRI,46.29,1.4635
2013-10-04,DRI,46.72,1.3999
2013-11-26,DRI,53.23,0.6484
2013-11-29,DRI,53.33,0.6017
2013-12-10,DRI,51.83,0.6653
2013-12-20,DRI,51.09,0.5557
2014-01-07,DRI,52.58,1.22
2014-01-14,DRI,51.16,1.3281
2014-01-15,DRI,51.87,1.3036
2014-02-07,DRI,48.26,1.3533
2014-03-11,DRI,50.15,1.025
2014-03-17,DRI,49.7,0.8641
2014-03-19,DRI,49.08,0.8526
2014-04-16,DRI,49.14,1.2094
2014-04-21,DRI,48.19,1.3681
2014-04-24,DRI,50.11,0.9197
2014-05-22,DRI,49.51,0.8795
2014-06-06,DRI,51.09,0.8363
2014-06-17,DRI,49.59,0.5105
2014-06-25,DRI,46.57,1.4706
2014-08-08,DRI,47.21,1.2714
2014-08-19,DRI,47.53,0.47
2014-09-04,DRI,47.83,0.3539
2014-10-02,DRI,51.48,0.812
2014-10-10,DRI,48.37,1.0736
2014-10-16,DRI,48.36,1.6073
2014-10-28,DRI,52.03,1.4038
2014-12-09,DRI,57.9,1.1941
2014-12-12,DRI,57.38,1.0077
2014-12-19,DRI,57.37,0.6604
2015-01-06,DRI,58.19,0.8124
2015-01-09,DRI,59.89,0.9711
2015-01-21,DRI,59.64,0.8501
2015-01-23,DRI,61.22,1.0049
2015-01-29,DRI,62.22,1.1649
2015-03-10,DRI,62.47,0.8262
2015-05-08,DRI,63.96,1.6441
2015-05-22,DRI,64.75,1.0465
2015-06-09,DRI,65.01,0.4691
2015-06-19,DRI,68.87,1.6831
2015-07-15,DRI,71.39,0.826
2015-07-17,DRI,72.59,0.874
2015-08-05,DRI,74.91,0.8695
2015-10-06,DRI,67.94,1.2409
2015-10-14,DRI,63.76,1.6252
2015-10-22,DRI,64.09,1.72
2015-11-19,DRI,54.42,3.8484
2015-11-20,DRI,55.13,3.6174
2015-12-15,DRI,59.0,1.1928
2015-12-30,DRI,64.29,2.9365
2016-01-06,DRI,62.92,1.9259
2016-01-14,DRI,61.67,1.0627
2016-02-08,DRI,59.54,1.4397
2016-03-22,DRI,66.65,1.165
2016-03-28,DRI,66.47,0.8523
2016-03-29,DRI,66.63,0.5577
2016-06-02,DRI,67.8,1.7651
2016-06-28,DRI,65.24,0.9954
